"Year","MeanCover","LL95","UL95","LL68","UL68"
0,16.3540201206746,16.3540201206746,16.3540201206746,16.3540201206746,16.3540201206746
1,17.9529304669503,14.3736371608728,22.204060880789,16.0701296295153,19.8489835292083
2,18.8541407953163,14.6127282720799,22.9897985462226,16.3514319769273,20.8748918930603
3,22.4163014519247,18.3997769001315,27.5233056761547,19.8070556993139,24.3861959079316
4,21.5219034973413,17.2853864182358,27.4745219950223,19.1428291224841,24.6188198094156
5,20.6485567831624,15.5692458761263,26.8616600174157,17.6482827022721,22.9531288328403
6,21.0533568424498,15.5982060917844,27.8199442018737,18.3409687320517,23.5845808192783
7,22.5604163707441,16.1641868357182,33.0163431075264,20.1119697634061,24.7557540312371
8,22.6250705582283,18.306778067353,27.4173956139647,19.9560452807816,25.1532839683059
9,23.7012892547692,18.9529892294486,29.4210535254411,20.0840209235254,26.9736860112523
10,23.6484303032923,17.7071396589737,30.8196477646783,21.1209305657627,26.2599937007096
11,22.6089243652847,17.6903021806661,27.5265090505981,20.4495136577262,25.5522834927713
12,24.2659560408342,18.8952846414654,30.8958549742779,20.686654273945,27.7773186020516
13,24.1434095218098,18.5217763998938,29.8982199872779,20.9949526626854,27.5660910432736
14,22.523162614329,17.6913679650204,26.9341106575347,19.2207760478746,25.582641378927
15,23.9674268633857,19.4754091450875,28.9509980052247,20.9088117191505,27.3069745496316
16,22.6056029100251,17.4811859649339,27.7688297832921,20.1794415864331,25.4950886532488
17,24.0427933029897,18.7081501701426,29.001978872674,21.3066840411801,27.8021242195365
18,25.5789394959333,20.3765633974173,31.9423034405242,22.4039754698221,28.6288566787918
19,25.6077399751734,18.9261080884124,31.2961561976989,22.3261201929312,28.8704638624531
20,23.3910326513219,16.9421555307152,29.2774897636531,20.6843321825806,25.615463152239
21,23.4060840028903,17.9404355774041,28.7440073368206,20.8346038549187,25.9872139226669
22,24.3936519209748,18.3207731452604,31.8367779747164,20.5082591108119,27.0094197859476
23,25.0514879294479,19.7522066043737,30.2282797996579,22.3137031799065,27.7890140375364
24,28.3906270264261,22.914652025963,35.712134162534,25.1826258159743,32.2208286654768
25,26.6336890991397,21.0772124713598,33.4015011764851,22.7562369768347,30.1044558215942
26,28.6980593244937,21.9618156469433,34.2996827195642,25.0346218881814,32.4057889243653
27,28.2617535495266,21.3913171692718,36.7060720218869,24.1027253694657,32.1064229294171
28,27.492855740074,21.0861976062696,35.0781700252589,23.8381225644288,31.8010997819951
29,28.4319675401271,21.5651703278719,35.8844711683949,23.7418950982875,32.8174186496051
30,28.9597507457248,23.5065393736529,34.4380284147403,25.3144744106767,32.6218017205709
31,27.9038875267874,21.3504009621857,35.7947606269647,24.5518677396046,33.0307909314921
32,31.477783637902,24.9133541868666,39.617031552034,26.3517420008275,36.7028180060893
33,29.4507157105538,24.5119332954552,38.4905214206753,27.0070888014674,32.0842066908345
34,29.9348946104012,22.8253912353403,38.6035941466005,25.6784632201726,34.0283337141728
35,30.1622976352958,22.2024849774275,38.2603181759231,25.3736242535032,34.5414958961976
36,27.6969851102067,21.1826215238107,35.8990426004953,23.5426107470835,32.7286300278527
37,29.3856405822521,23.791136991039,36.5624898871686,26.2443781303459,32.3022085806216
38,31.6934083484125,25.4051874965261,41.247289452394,27.6934328044811,35.5297401851497
39,32.6742630756594,26.1162401264799,40.7763440030138,29.0069025400962,36.4668065685542
40,31.775694002705,24.717751647388,38.2666268843833,28.3725131080822,35.3692898476436
41,32.1454304823898,25.6613285326976,39.5917636777975,28.0639958498793,36.4820967990959
42,32.6097508074826,24.0436296881851,41.6274879109206,28.8342686338568,36.654357935562
43,31.7624673455902,25.5702028124479,38.2803528528992,27.778663438795,36.0786731965193
44,31.831810304898,24.302105630454,42.7850961568153,27.7345204819575,37.0168685115765
45,32.262280590157,23.9783727450702,42.7495451541782,28.9918993595722,35.2417521908562
46,31.7604479907116,26.7785203460904,39.551817684949,27.8203706700098,35.0289955102116
47,32.5012599815962,26.8476079679848,42.6513889317762,28.0913757773757,36.5697821804191
48,31.9142377549823,24.7848888051728,40.819951767198,27.7189478949871,35.9181257758317
49,32.1509694113869,24.2281726499632,41.6960200218622,27.5506417247704,37.3057055514041
50,30.2861099411449,22.4060545753228,39.84167937847,25.69677266355,34.9882652865868
51,32.3964620220722,24.2775326852887,39.797497421614,27.5023523526615,37.1195363228201
52,34.9085772867351,27.4991670423596,42.9644516220673,30.5382259469007,39.2143216220055
53,34.9894306553115,26.1922657682973,45.5091132822391,28.8064255232425,39.9588794674012
54,36.3166129580109,27.9864159199125,46.0392402561711,31.8706632164671,40.5477378754099
55,34.2335463152239,27.5922165164924,42.9970172551151,30.1527024573408,39.0907453542733
56,33.6303814776159,26.074015118297,46.5479778969016,28.7788501942281,39.91164837608
57,33.9952636747096,27.0333096595295,43.5263798225082,29.0411810551929,39.01096521186
58,34.4850741401777,27.750556437319,46.4137241157834,30.727567300507,38.526005323518
59,39.1004498434441,30.2942468024925,54.0402266818179,35.6587822607042,41.7002886557191
60,35.7882644219783,27.7679038802394,44.2182924908753,31.6523537730897,40.4402126936877
61,37.738203220049,27.5389574056805,45.8337848854085,32.7252518789795,43.1506348079025
62,34.1312597963229,25.7378366569295,43.132508970313,29.9564827726759,38.853705773732
63,35.4361575563694,28.1105605750882,41.1854875465499,31.4249550712376,39.9099646128098
64,38.6117815257869,30.6394127146854,48.5805498601187,34.2095820853121,42.7818143191517
65,37.1450288099899,27.3855615014544,47.5519464498558,31.4036731038827,41.8768150293658
66,36.6588242559735,29.086109910266,45.3671776091105,30.9978970251292,42.0180562366063
67,38.8343326148849,29.5206514824948,45.0209635135219,34.7815260339791,43.0241826053124
68,39.0081852485441,31.1259879695905,49.6321115591979,34.9757299457149,41.9942834557166
69,40.0985531394552,31.564927156735,52.0895430235359,34.6685417142716,46.2830169895568
70,41.8927535927571,32.252820785188,51.8649223705094,36.3386345361684,47.650376536996
71,42.0596046268906,32.2490960209482,56.2273488015909,37.1116283665693,46.8897802041711
72,40.1650449905202,32.1667876089252,48.8423245925533,35.7480491344651,45.1685312154543
73,39.4826537304768,30.2764318534118,52.6396154344966,33.6708060003829,45.8517860958604
74,40.4157441499972,31.2837984721133,48.2453071830438,34.916868388061,45.4162338889472
75,41.1128039870803,33.8218060436133,48.1749802375203,36.9703925940107,45.423684096762
76,40.1354982306405,33.4467722312457,47.5917056255134,35.5459471477184,45.016114820007
77,39.0512282998709,30.4905391760281,52.0196412801146,33.7418792883037,42.7428577780797
78,39.0282872723455,29.1250949525392,50.8556939100684,33.806917361956,44.098142450424
79,40.7265444686672,31.4296099071781,51.5865990316385,34.7820845710616,45.9642210186323
80,40.2290666551386,30.9883463127536,49.3270125306473,34.5986749257363,45.7243835650278
81,39.1324538206431,30.4809559173187,49.7086899328693,34.6760497273395,43.5154222686092
82,38.4289810588984,30.4302758101073,46.7277891343416,35.6429473268158,42.5091432347474
